app_name,101_rest,101_rest,101_rest,301_pagerank,301_pagerank,301_pagerank,301_pagerank,301_pagerank,301_pagerank
log_status,with_log,with_log,with_log,manual_log,manual_log,manual_log,with_log,with_log,with_log
num_tests,1,2,4,1,2,4,1,2,4
max,1.1728057020000002,1.2057629680000002,1.3108697519999999,0.9745836690000002,1.0359309140000001,0.9716514129999999,1.0174807940000001,1.0050844200000002,1.0554866349999998
mean,1.1728057020000002,1.2056150825,1.258256205,0.9745836690000002,1.0058769995000003,0.9676334624999999,1.0174807940000001,1.0034191145000002,1.0236087402499998
median,1.1728057020000002,1.2056150825,1.255669957,0.9745836690000002,1.0058769995000003,0.968450832,1.0174807940000001,1.0034191145000002,1.023323976
min,1.1728057020000002,1.205467197,1.210815154,0.9745836690000002,0.9758230850000003,0.9619807729999998,1.0174807940000001,1.001753809,0.9923003739999998
q25,1.1728057020000002,1.20554113975,1.2247076725000001,0.9745836690000002,0.9908500422500002,0.9660113997499999,1.0174807940000001,1.00258646175,0.9984473304999999
q75,1.1728057020000002,1.20568902525,1.2892184895,0.9745836690000002,1.0209039567500002,0.97007289475,1.0174807940000001,1.0042517672500002,1.0484853857499998
std,0.0,0.00014788550000011114,0.04005903767228083,0.0,0.030053914499999945,0.0035998250091887137,0.0,0.0016653055000001027,0.027562566437305716
time,1.1728057020000002,2.411230165,5.03302482,0.9745836690000002,2.0117539990000006,3.8705338499999997,1.0174807940000001,2.0068382290000004,4.094434960999999
