dis_instructions_w_class
,Class,Type,title,description
1,dis.Instruction,Bytecode operation ,opcode,"numeric code for operation, corresponding to the opcode values listed
below and the bytecode values in the Opcode collections."
2,dis.Instruction,Bytecode operation ,opname,human readable name for operation
3,dis.Instruction,Bytecode operation ,arg,"numeric argument to operation (if any), otherwise None"
4,dis.Instruction,Bytecode operation ,argval,"resolved arg value (if any), otherwise None"
5,dis.Instruction,Bytecode operation ,argrepr,"human readable description of operation argument (if any),
otherwise an empty string."
6,dis.Instruction,Bytecode operation ,offset,start index of operation within bytecode sequence
7,dis.Instruction,Bytecode operation ,starts_line,"line started by this opcode (if any), otherwise None"
8,dis.Instruction,,is_jump_target,"True if other code jumps to here, otherwise False"
11,dis.Positions,,lineno,None
12,dis.Positions,,end_lineno,None
13,dis.Positions,,col_offset,None
14,dis.Positions,,end_col_offset,None
15,,,NOP,"Do nothing code.  Used as a placeholder by the bytecode optimizer, and to
generate line tracing events."
16,,,POP_TOP,Removes the top-of-stack (TOS) item.
17,,,COPY,"Push the i-th item to the top of the stack. The item is not removed from its
original location."
18,,,SWAP,Swap TOS with the item at position i.
19,,,CACHE,"Rather than being an actual instruction, this opcode is used to mark extra
space for the interpreter to cache useful data directly in the bytecode
itself. It is automatically hidden by all dis utilities, but can be
viewed with show_caches=True."
20,, Unary operation,UNARY_POSITIVE,Implements TOS = +TOS.
21,, Unary operation,UNARY_NEGATIVE,Implements TOS = -TOS.
22,, Unary operation,UNARY_NOT,Implements TOS = not TOS.
23,, Unary operation,UNARY_INVERT,Implements TOS = ~TOS.
24,, Unary operation,GET_ITER,Implements TOS = iter(TOS).
25,, Unary operation,GET_YIELD_FROM_ITER,"If TOS is a generator iterator or coroutine object
it is left as is.  Otherwise, implements TOS = iter(TOS)."
26,,Binary and in-place operation,BINARY_OP,"Implements the binary and in-place operators (depending on the value of
op)."
27,,Binary and in-place operation,BINARY_SUBSCR,Implements TOS = TOS1[TOS].
28,,Binary and in-place operation,STORE_SUBSCR,Implements TOS1[TOS] = TOS2.
29,,Binary and in-place operation,DELETE_SUBSCR,Implements del TOS1[TOS].
30,,Coroutine opcodes,GET_AWAITABLE,"Implements TOS = get_awaitable(TOS), where get_awaitable(o)
returns o if o is a coroutine object or a generator object with
the CO_ITERABLE_COROUTINE flag, or resolves
o.__await__."
31,,Coroutine opcodes,GET_AITER,Implements TOS = TOS.__aiter__().
32,,Coroutine opcodes,GET_ANEXT,"Pushes get_awaitable(TOS.__anext__()) to the stack.  See
GET_AWAITABLE for details about get_awaitable."
33,,Coroutine opcodes,END_ASYNC_FOR,"Terminates an async for loop.  Handles an exception raised
when awaiting a next item.  If TOS is StopAsyncIteration pop 3
values from the stack and restore the exception state using the second
of them.  Otherwise re-raise the exception using the value
from the stack.  An exception handler block is removed from the block stack."
34,,Coroutine opcodes,BEFORE_ASYNC_WITH,"Resolves __aenter__ and __aexit__ from the object on top of the
stack.  Pushes __aexit__ and result of __aenter__() to the stack."
35,,Miscellaneous opcodes,PRINT_EXPR,"Implements the expression statement for the interactive mode.  TOS is removed
from the stack and printed.  In non-interactive mode, an expression statement
is terminated with POP_TOP."
36,,Miscellaneous opcodes,SET_ADD,"Calls set.add(TOS1[-i], TOS).  Used to implement set comprehensions."
37,,Miscellaneous opcodes,LIST_APPEND,"Calls list.append(TOS1[-i], TOS).  Used to implement list comprehensions."
38,,Miscellaneous opcodes,MAP_ADD,"Calls dict.__setitem__(TOS1[-i], TOS1, TOS).  Used to implement dict
comprehensions."
39,,Miscellaneous opcodes,RETURN_VALUE,Returns with TOS to the caller of the function.
40,,Miscellaneous opcodes,YIELD_VALUE,Pops TOS and yields it from a generator.
41,,Miscellaneous opcodes,SETUP_ANNOTATIONS,"Checks whether __annotations__ is defined in locals(), if not it is
set up to an empty dict. This opcode is only emitted if a class
or module body contains variable annotations
statically."
42,,Miscellaneous opcodes,IMPORT_STAR,"Loads all symbols not starting with '_' directly from the module TOS to
the local namespace. The module is popped after loading all names. This
opcode implements from module import *."
43,,Miscellaneous opcodes,POP_EXCEPT,"Pops a value from the stack, which is used to restore the exception state."
44,,Miscellaneous opcodes,RERAISE,"Re-raises the exception currently on top of the stack. If oparg is non-zero,
pops an additional value from the stack which is used to set f_lasti
of the current frame."
45,,Miscellaneous opcodes,PUSH_EXC_INFO,"Pops a value from the stack. Pushes the current exception to the top of the stack.
Pushes the value originally popped back to the stack.
Used in exception handlers."
46,,Miscellaneous opcodes,CHECK_EXC_MATCH,"Performs exception matching for except. Tests whether the TOS1 is an exception
matching TOS. Pops TOS and pushes the boolean result of the test."
47,,Miscellaneous opcodes,CHECK_EG_MATCH,"Performs exception matching for except*. Applies split(TOS) on
the exception group representing TOS1."
48,,Miscellaneous opcodes,PREP_RERAISE_STAR,"Combines the raised and reraised exceptions list from TOS, into an exception
group to propagate from a try-except* block. Uses the original exception
group from TOS1 to reconstruct the structure of reraised exceptions. Pops
two items from the stack and pushes the exception to reraise or None
if there isn’t one."
49,,Miscellaneous opcodes,WITH_EXCEPT_START,"Calls the function in position 4 on the stack with arguments (type, val, tb)
representing the exception at the top of the stack.
Used to implement the call context_manager.__exit__(*exc_info()) when an exception
has occurred in a with statement."
50,,Miscellaneous opcodes,LOAD_ASSERTION_ERROR,"Pushes AssertionError onto the stack.  Used by the assert
statement."
51,,Miscellaneous opcodes,LOAD_BUILD_CLASS,"Pushes builtins.__build_class__() onto the stack.  It is later called
to construct a class."
